Age group ,Population,At least one dose,At least one dose percent,Fully Vaccinated,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
75+,284821,271502,95.3,252193,88.5,194904,68.4,01/12/2023
Unknown,,700,,619,,,,01/12/2023
0-4,183070,25410,13.9,15995,8.7,135,0.1,01/18/2023
5-9,197078,101164,51.3,90893,46.1,14566,7.4,01/18/2023
10-14,214123,156470,73.1,144591,67.5,45918,21.4,01/18/2023
15-24,482051,407918,84.6,355944,73.8,167158,34.7,01/18/2023
25-34,455862,399218,87.6,352280,77.3,165890,36.4,01/18/2023
35-44,437481,394889,90.3,359940,82.3,197548,45.2,01/18/2023
45-54,466073,425783,91.4,398218,85.4,250532,53.8,01/18/2023
55-64,518115,497883,96.1,470064,90.7,334870,64.6,01/18/2023
65-74,367270,364847,99.3,343009,93.4,273304,74.4,01/18/2023
75+,284821,271482,95.3,252189,88.5,194949,68.4,01/18/2023
Unknown,,703,,623,,,,01/18/2023
0-4,183070,25650,14,16192,8.8,137,0.1,01/25/2023
5-9,197078,101257,51.4,90996,46.2,14572,7.4,01/25/2023
10-14,214123,156540,73.1,144669,67.6,45926,21.4,01/25/2023
15-24,482051,407976,84.6,356020,73.9,167231,34.7,01/25/2023
25-34,455862,399260,87.6,352357,77.3,165971,36.4,01/25/2023
35-44,437481,394871,90.3,359992,82.3,197643,45.2,01/25/2023
45-54,466073,425730,91.3,398250,85.4,250670,53.8,01/25/2023
55-64,518115,497785,96.1,470057,90.7,335004,64.7,01/25/2023
65-74,367270,364779,99.3,343012,93.4,273416,74.4,01/25/2023
75+,284821,271443,95.3,252191,88.5,195051,68.5,01/25/2023
Unknown,,706,,625,,,,01/25/2023
0-4,183070,25811,14.1,16348,8.9,140,0.1,02/01/2023
5-9,197078,101325,51.4,91074,46.2,14585,7.4,02/01/2023
10-14,214123,156562,73.1,144731,67.6,45944,21.5,02/01/2023
15-24,482051,408021,84.6,356117,73.9,167302,34.7,02/01/2023
25-34,455862,399270,87.6,352420,77.3,166039,36.4,02/01/2023
35-44,437481,394845,90.3,360045,82.3,197741,45.2,02/01/2023
45-54,466073,425623,91.3,398276,85.5,250801,53.8,02/01/2023
55-64,518115,497626,96,470045,90.7,335151,64.7,02/01/2023
65-74,367270,364672,99.3,342999,93.4,273509,74.5,02/01/2023
75+,284821,271387,95.3,252194,88.5,195094,68.5,02/01/2023
Unknown,,711,,630,,,,02/01/2023
0-4,183070,26009,14.2,16505,9,150,0.1,02/08/2023
5-9,197078,101414,51.5,91192,46.3,14597,7.4,02/08/2023
10-14,214123,156609,73.1,144801,67.6,45961,21.5,02/08/2023
15-24,482051,408066,84.7,356189,73.9,167361,34.7,02/08/2023
25-34,455862,399245,87.6,352438,77.3,166035,36.4,02/08/2023
35-44,437481,394832,90.3,360096,82.3,197811,45.2,02/08/2023
45-54,466073,425596,91.3,398279,85.5,250850,53.8,02/08/2023
55-64,518115,497546,96,470041,90.7,335241,64.7,02/08/2023
65-74,367270,364587,99.3,342966,93.4,273551,74.5,02/08/2023
75+,284821,271363,95.3,252189,88.5,195140,68.5,02/08/2023
Unknown,,716,,636,,,,02/08/2023
